movie_title,gross_total,max_theaters,opening_weekend_gross,release_date,score,running_time_min,production_budget,genre_action,genre_adventure,genre_animation,genre_comedy,genre_documentary,genre_drama,genre_fantasy,genre_film_noir,genre_horror,genre_kids,genre_musical,genre_mystery,genre_romance,genre_sci-fi,genre_tv_series,genre_thriller,genre_war,genre_western
The Kid Who Would Be King,16790790,3528,7173887,2019/01/25,5.4,120,59000000,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Late Night,15499454,2220,246305,2019/06/14,5.6,102,4000000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miss Bala,15006824,2203,6864744,2019/02/1,5.6,113,15000000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
If Beale Street Could Talk,14915773,1018,224476,2019/01/11,6.3,119,12000000,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
The Prodigy,14856291,2530,5853061,2019/02/8,3.6,120,6000000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Poms,13631124,2750,5361937,2019/05/10,4.5,91,10000000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Kitchen,12180032,2745,5527410,2019/08/9,4.7,102,38000000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
After,12138565,2138,6002349,2019/04/12,5.6,117,14000000,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Blinded by the Light,11901145,2307,4333305,2019/08/16,6.2,118,15000000,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Lighthouse,10867104,978,427797,2019/11/1,5.2,102,4000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Black Christmas,10429730,2625,4240245,2019/12/13,6.2,98,9000000,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
The Best of Enemies,10205616,1705,4446190,2019/04/5,6.2,104,10000000,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Hotel Mumbai,9651611,930,88065,2019/03/29,6.6,125,17300000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Motherless Brooklyn,9277736,1342,3500454,2019/11/1,6.0,144,26000000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Serenity,8547045,2561,4415403,2019/01/25,4.3,106,39000000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Anna,7743794,2114,3600647,2019/06/21,5.7,64,30000000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Jexi,6546159,2332,3106730,2019/10/11,4.9,84,5000000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Captive State,5958315,2549,3131525,2019/03/15,5.3,109,25000000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Stan & Ollie,5470235,754,78104,2019/01/25,6.5,97,10000000,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Goldfinch,5332621,2542,2679027,2019/09/13,5.5,149,40000000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Sun Is Also a Star,4950029,2073,2511530,2019/05/17,4.9,100,9000000,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Jay and Silent Bob Reboot,4589490,788,93520,2019/10/15,4.6,105,10000000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tolkien,4535154,1501,2200537,2019/05/10,5.7,112,20000000,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
Brian Banks,4376819,1240,2156272,2019/08/9,6.4,99,10000000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Replicas,4046429,2329,2375325,2019/01/11,4.4,107,30000000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
The Beach Bum,3502600,1100,1763070,2019/03/29,5.4,95,5000000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Chicano,1400603,605,700261,2019/05/3,4.6,107,8000000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Teen Spirit,441366,696,43620,2019/04/19,5.2,92,16000000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
