id,movie_title,twitter_neg,twitter_pos,twitter_neu,gross_total,max_theaters,opening_weekend_gross,release_date,score,running_time_min,production_budget,genre_action,genre_adventure,genre_animation,genre_comedy,genre_documentary,genre_drama,genre_fantasy,genre_film_noir,genre_horror,genre_kids,genre_musical,genre_mystery,genre_romance,genre_sci-fi,genre_tv_series,genre_thriller,genre_war,genre_western
795,Teen Titans GO! To the Movies,0.0,1.0,1465.0,29790236,3188,10411189,2018/07/27,6.2,87,10000000,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
796,The Hate U Give,28.0,14.0,1423.0,29719483,2375,512035,2018/10/19,6.6,129,23000000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
797,Winchester,8.0,25.0,1450.0,25091816,2480,9307626,2018/02/2,4.5,99,3500000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
798,The Strangers: Prey at Night,1.0,1.0,1417.0,24586708,2464,10402271,2018/03/9,4.4,85,5000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
799,White Boy Rick,8.0,24.0,1432.0,24011188,2504,8860431,2018/09/14,5.9,106,30000000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
800,Overlord,18.0,44.0,1415.0,21704844,2859,10202108,2018/11/9,6.0,109,38000000,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0
801,Phantom Thread,1.0,20.0,1462.0,21198205,1186,216495,2018/01/19,6.7,130,35000000,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
802,Proud Mary,3.0,179.0,1284.0,20877013,2125,9959053,2018/01/12,4.3,89,30000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
803,The Happytime Murders,47.0,6.0,1425.0,20706452,3256,9532425,2018/08/24,4.7,91,40000000,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
804,SuperFly,17.0,33.0,1428.0,20545116,2220,6870740,2018/06/13,4.4,108,16000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
805,Call Me by Your Name,0.0,8.0,1428.0,18095701,914,412932,2018/01/19,7.3,130,3500000,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
806,Show Dogs,2.0,5.0,1459.0,17857020,3212,6023972,2018/05/18,3.9,92,5500000,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
807,Bad Times at the El Royale,8.0,6.0,1446.0,17839115,2808,7132647,2018/10/12,6.5,141,32000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
808,Operation Finale,3.0,4.0,1369.0,17612099,1818,6022758,2018/08/29,5.8,122,20000000,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
809,Sorry to Bother You,51.0,25.0,1391.0,17493096,1050,727266,2018/07/13,6.0,110,3200000,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
810,Mary Queen of Scots,0.0,7.0,1133.0,16468499,1052,194777,2018/12/21,5.3,120,25000000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
811,Forever My Girl,1.0,21.0,1429.0,16376066,1427,4245630,2018/01/19,5.3,104,3500000,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
812,Mortal Engines,6.0,19.0,1450.0,15951040,3103,7559850,2018/12/14,4.8,128,100000000,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
813,Hunter Killer,149.0,9.0,1227.0,15767460,2728,6653777,2018/10/26,5.7,121,40000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
814,The Possession of Hannah Grace,1.0,17.0,1342.0,14837422,2298,6401744,2018/11/30,4.5,85,6000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
815,Eighth Grade,7.0,15.0,1441.0,13539709,1084,263797,2018/08/3,6.5,93,2000000,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
816,The Darkest Minds,49.0,11.0,1393.0,12695691,3127,5842609,2018/08/3,4.7,105,34000000,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
817,Upgrade,1.0,14.0,1463.0,11977130,1458,4670905,2018/06/1,6.7,99,3000000,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
818,Hell Fest,271.0,14.0,1161.0,11107431,2297,5130963,2018/09/28,4.6,90,5500000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
819,Welcome to Marwen,3.0,40.0,1389.0,10763520,1911,2354205,2018/12/21,5.8,116,45000000,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
820,Traffik,14.0,42.0,1403.0,9186156,1046,3941338,2018/04/20,4.9,96,4000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
