,movie_title,metacritic_pos,metacritic_neg,metacritic_neu,gross_total,max_theaters,opening_weekend_gross,release_date,score,running_time_min,production_budget,genre_action,genre_adventure,genre_animation,genre_comedy,genre_documentary,genre_drama,genre_fantasy,genre_film_noir,genre_horror,genre_kids,genre_musical,genre_mystery,genre_romance,genre_sci-fi,genre_tv_series,genre_thriller,genre_war,genre_western
258,Rio 2,61.0,18.0,5.0,131538435,3975,39327869,2014/04/11,5.4,101,130000000,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
259,Into the Woods,98.0,31.0,8.0,128002372,2833,31051923,2014/12/25,5.2,121,56200000,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
260,Lucy,17.0,4.0,1.0,126663600,3202,43899340,2014/07/25,5.2,90,40000000,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
261,Lone Survivor,72.0,54.0,6.0,125095601,3285,90872,2014/01/10,6.4,120,40000000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
262,The Fault in Our Stars,99.0,35.0,8.0,124872350,3340,48002523,2014/06/6,6.6,125,12000000,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
263,Night at the Museum: Secret of the Tomb,56.0,23.0,7.0,113746621,3914,17100520,2014/12/19,4.9,97,127000000,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
264,Mr. Peabody & Sherman,74.0,9.0,9.0,111506430,3951,32207057,2014/03/7,5.9,92,145000000,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
265,300: Rise of an Empire,87.0,36.0,8.0,106580051,3490,45038460,2014/03/7,5.4,102,110000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
266,The Maze Runner,0.0,0.0,0.0,102427862,3638,32512804,2014/09/19,5.9,113,34000000,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
267,The Equalizer,94.0,36.0,6.0,101530738,3236,34137828,2014/09/26,6.2,128,55000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
268,Noah,79.0,56.0,10.0,101200044,3571,43720472,2014/03/28,5.1,138,130000000,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
269,Edge of Tomorrow,0.0,0.0,0.0,100206256,3505,28760246,2014/06/6,6.7,113,178000000,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
270,Heaven Is for Real,47.0,8.0,2.0,91443253,3048,22522221,2014/04/16,4.5,96,12000000,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
271,The Imitation Game,114.0,21.0,9.0,91125683,2402,479352,2014/12/25,7.2,114,15000000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
272,Dumb and Dumber To,94.0,37.0,3.0,86208010,3188,36111775,2014/11/14,4.3,109,40000000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
273,Annie,67.0,20.0,5.0,85911262,3197,15861939,2014/12/19,8.0,94,65000000,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
274,Fury,0.0,0.0,0.0,85817906,3313,23702421,2014/10/17,6.6,128,80000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
